transfer_id,chain,transaction_id,block_time_utc,from_address,to_address,asset,amount,period,role,evidence_class,source_id,source_url,notes
eth-incident-pionex,ethereum,0xffc0f56ace1d8a63ddfbe9fd8924ee487c27c252b52be5eaf337643f3d7ca59b,2026-07-27T13:09:47Z,0xF6D4E5a7c5215F91f59a95065190CCa24bf64554,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,1.376048,incident-window,labelled first-hop source,observed,blockscout-api,https://eth.blockscout.com/tx/0xffc0f56ace1d8a63ddfbe9fd8924ee487c27c252b52be5eaf337643f3d7ca59b,Pionex hot-wallet label checked separately
eth-incident-paxos,ethereum,0x41ec8f4ebb15f78066f9b88346d6a6da33dbde2b33b55f6c2691b71a10d22a6e,2026-07-27T14:15:59Z,0x264bd8291fAE1D75DB2c5F573b07faA6715997B5,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.02017793,incident-window,labelled first-hop source,observed,blockscout-api,https://eth.blockscout.com/tx/0x41ec8f4ebb15f78066f9b88346d6a6da33dbde2b33b55f6c2691b71a10d22a6e,Paxos 4 label checked separately
eth-incident-crypto,ethereum,0x13ac8ea1fd2f2d209ed6ea45d520429861881619689c9229cbbe21a89cf3c734,2026-07-27T16:18:11Z,0x46340b20830761efd32832A74d7169B29FEB9758,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.032647,incident-window,labelled first-hop source,observed,blockscout-api,https://eth.blockscout.com/tx/0x13ac8ea1fd2f2d209ed6ea45d520429861881619689c9229cbbe21a89cf3c734,Crypto.com 12 label checked separately
eth-incident-duelbits,ethereum,0x00f70eb94abce0441d9f7ae4d451341b167e73b863de656481ea86b285aeddcf,2026-07-27T01:42:11Z,0x014435B1E39945CF4f5F0c3cbb5833195A95CC9B,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.0231927892344414,incident-window,labelled first-hop source,observed,blockscout-api,https://eth.blockscout.com/tx/0x00f70eb94abce0441d9f7ae4d451341b167e73b863de656481ea86b285aeddcf,Duelbits label checked separately
eth-incident-scam-tag-1,ethereum,0x69b0dcb6476c234632fc76cbe6ba93aaaa8deb8fca2294648165f17bb8def9ad,2026-07-26T23:42:47Z,0x0067CC2416F792CF0ec5629f5506324Ac508f859,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.7011524558937688,incident-window,publicly scam-tagged feeder,observed,blockscout-api,https://eth.blockscout.com/tx/0x69b0dcb6476c234632fc76cbe6ba93aaaa8deb8fca2294648165f17bb8def9ad,HashDit warning checked separately on Etherscan
eth-incident-scam-tag-2,ethereum,0xa98bb8c5518288547ae0524260f8ea9ef3b3094fd2b80995d82deb1b63587456,2026-07-27T09:41:35Z,0x0067CC2416F792CF0ec5629f5506324Ac508f859,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.010188676681410217,incident-window,publicly scam-tagged feeder,observed,blockscout-api,https://eth.blockscout.com/tx/0xa98bb8c5518288547ae0524260f8ea9ef3b3094fd2b80995d82deb1b63587456,HashDit warning checked separately on Etherscan
btc-post-sweep,bitcoin,24eb95d4aabd7f31dbfec4637978cd7fa09ada4b0dccc063a6c42906a13c9d87,2026-07-29T20:03:25Z,bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls,bc1qjekyd0dh8kp3vnvhxqxtla4u2tx8hkwh5sglm7,BTC,1.597,post-incident,seed consolidation,observed,mempool-api,https://mempool.space/tx/24eb95d4aabd7f31dbfec4637978cd7fa09ada4b0dccc063a6c42906a13c9d87,Fourteen seed UTXOs consolidated
eth-storage-1,ethereum,0xa12103123bffc25f679ca626f4694f489513ce29dbdbbb079a07393c6143aa9e,2026-07-28T18:29:47Z,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,0xaAA56521faBFE036E7A2cff721B3e37Dafff6dc9,ETH,2.884269682972020948,post-incident,native storage transfer,observed,blockscout-api,https://eth.blockscout.com/tx/0xa12103123bffc25f679ca626f4694f489513ce29dbdbbb079a07393c6143aa9e,Destination predates incident and remains unlabeled
eth-storage-2,ethereum,0xcc24dc765312ff19318d42989edf6c4d9b550d597722d078ecd870c14ff1f297,2026-07-28T18:53:35Z,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,0xaAA56521faBFE036E7A2cff721B3e37Dafff6dc9,ETH,2.615129912472369621,post-incident,native storage transfer,observed,blockscout-api,https://eth.blockscout.com/tx/0xcc24dc765312ff19318d42989edf6c4d9b550d597722d078ecd870c14ff1f297,Destination predates incident and remains unlabeled
eth-fast-relay-in,ethereum,0x0c7aee1665dd4da5fb91b03fa36bf6611939d94678867f56575e52477cbeb285,2026-08-03T22:28:35Z,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,0x81A19D2E11eb6177f9FB09D8D033a415C5cEa501,ETH,0.8,post-incident,seed to fast relay,observed,blockscout-api,https://eth.blockscout.com/tx/0x0c7aee1665dd4da5fb91b03fa36bf6611939d94678867f56575e52477cbeb285,Forwarded 144 seconds later
eth-fast-relay-out,ethereum,0x8d501bd5729ab94cf9c3cd829d3ed2b2a2f4a632ddd9d3e98f65c0582f6d885b,2026-08-03T22:30:59Z,0x81A19D2E11eb6177f9FB09D8D033a415C5cEa501,0x3dBEC89B559A6616b8F12F5A948FEfD8aEA18a01,ETH,0.7999874,post-incident,fast relay to pool,observed,blockscout-api,https://eth.blockscout.com/tx/0x8d501bd5729ab94cf9c3cd829d3ed2b2a2f4a632ddd9d3e98f65c0582f6d885b,Pool is high-volume and unlabeled
